number,state,createdAt,mergedAt,closedAt,title,bodyText,changedFiles,additions,deletions,comments,participants,reviews,repository,duration_hours
38,MERGED,2016-10-15T16:08:41Z,2016-10-16T02:17:14Z,2016-10-16T02:17:14Z,Add a tutorial on Udemy.,"I add a tutorial on Udemy that talking about how to get ready for interview like Google, Facebook, SnapChat, or AirBnb form a former Google interviewer.",1,3,0,{'totalCount': 2},{'totalCount': 2},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",10.1425
78,MERGED,2016-12-20T19:12:18Z,2017-05-28T17:00:33Z,2017-05-28T17:00:33Z,[Don't Merge yet] Spanish Translation in progress,"Description
Spanish translation of google-interview-university
This is a work in progress ! Feel free to collaborate!

Pick an issue from https://github.com/dossorio/google-interview-university/issues
Fork https://github.com/dossorio/google-interview-university and translate your chunk in translations/README-es.md
Open a pr with master of this repo as base for your pr and contribute ! Thank you so much !! :)

All commits will be squashed into one big Spanish Translation before merging, so don't worry about them! just translate ! 👍",2,1923,2020,{'totalCount': 11},{'totalCount': 8},{'totalCount': 12},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",3813.804166666667
83,MERGED,2016-12-22T05:53:09Z,2016-12-25T20:03:37Z,2016-12-25T20:03:37Z,Initial Draft of Hindi Translation,"Hi, This is initial draft with partial translation.",2,1678,1,{'totalCount': 4},{'totalCount': 3},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",86.17444444444445
88,MERGED,2016-12-23T08:07:38Z,2020-11-28T18:12:43Z,2020-11-28T18:12:43Z,WIP: Initialization of Russian translation. Issue #87.,,1,2001,0,{'totalCount': 9},{'totalCount': 12},{'totalCount': 3},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",34474.08472222222
94,MERGED,2016-12-26T09:55:48Z,2016-12-27T04:55:10Z,2016-12-27T04:55:10Z,Hindi translation in progress,made title changes,1,15,15,{'totalCount': 0},{'totalCount': 4},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",18.989444444444445
103,CLOSED,2016-12-31T13:58:21Z,,2021-07-29T15:11:02Z,typo_fix_hn_trans,"I have fixed some hindi translation typos.
Please review.
Thank you",1,37,38,{'totalCount': 9},{'totalCount': 6},{'totalCount': 3},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",40105.211388888885
123,CLOSED,2017-01-06T05:01:41Z,,2017-01-07T18:18:30Z,started,,1,3,239,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",37.280277777777776
159,MERGED,2017-03-04T01:18:38Z,2017-03-12T00:16:34Z,2017-03-12T00:16:34Z,Thai Translation - First pull request,"Create translation file for Thai.
Update introduction and table of content.",1,1940,0,{'totalCount': 5},{'totalCount': 3},{'totalCount': 9},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",190.96555555555557
164,MERGED,2017-03-10T06:08:00Z,2017-04-05T03:58:52Z,2017-04-05T03:58:52Z,translate the list of contents in Arabic and other words,,1,18,18,{'totalCount': 2},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",621.8477777777778
165,CLOSED,2017-03-11T11:10:48Z,,2017-08-23T10:08:21Z,Updated Ukrainian translation,Updated Ukrainian translation,1,24,24,{'totalCount': 0},{'totalCount': 4},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",3958.9591666666665
168,MERGED,2017-03-14T02:40:05Z,2017-03-14T17:00:08Z,2017-03-14T17:00:08Z,Thai translation: Fixed typos,"Fixed typos in a readme.md file and improved some translations. ✏️
Feel free to review before merging.",1,21,22,{'totalCount': 2},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",14.334166666666667
173,MERGED,2017-03-19T14:52:34Z,2017-03-19T18:32:36Z,2017-03-19T18:32:36Z,Add a link to help with Forking a repo,I also fixed some spelling mistakes and some Vietnamese writing styles.,1,20,17,{'totalCount': 4},{'totalCount': 4},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",3.667222222222222
185,MERGED,2017-04-11T09:46:43Z,2021-07-29T16:02:39Z,2021-07-29T16:02:39Z,Translation: Turkish,We start Turkish translation,1,45,0,{'totalCount': 1},{'totalCount': 4},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",37686.265555555554
199,CLOSED,2017-04-29T05:30:06Z,,2024-05-03T15:58:53Z,Update some words and Adding in readme-hi.md,"Woking #81
Yes! please review.
It will take the time to complete.
Am I going right direction to translate?",1,39,9,{'totalCount': 12},{'totalCount': 6},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",61474.47972222222
212,MERGED,2017-06-05T10:31:08Z,2017-06-09T04:09:25Z,2017-06-09T04:09:25Z,fix(gitignore): change js-style comments to shell comments,"Summary of Changes

change // prefix for comments to # in .gitignore",1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",89.63805555555555
213,MERGED,2017-06-09T14:37:40Z,2017-06-10T17:52:17Z,2017-06-10T17:52:17Z,added anchor to video series,Just a formatting improvement to lead readers straight to the referred section (#video-series).,1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",27.24361111111111
266,CLOSED,2017-10-28T12:59:11Z,,2024-05-03T15:59:15Z,"Translate to ukrainian up to ""Lang-specific"" part",For issue #106,1,86,77,{'totalCount': 2},{'totalCount': 5},{'totalCount': 3},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",57099.00111111111
288,MERGED,2017-12-20T08:52:43Z,2017-12-22T03:29:47Z,2017-12-22T03:29:47Z,Feature/update vietnamese,"Correct some mistakes in Vietnamese translation
Keep up to date with English version

@letientai299 @thovo @dangkhoasdc @duytruong @jarvisluong please help me to review.
Many thanks :)",1,103,102,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",42.617777777777775
311,MERGED,2018-02-27T20:32:52Z,2020-10-14T15:29:35Z,2020-10-14T15:29:35Z,Translation:  French #chunk4,"@amoulkaf
Thanks for your initiative, i've done some work here. If it please you i would do more
amoulkaf#4",1,31,31,{'totalCount': 2},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",23034.945277777777
315,MERGED,2018-04-06T09:32:18Z,2018-04-20T02:19:44Z,2018-04-20T02:19:44Z,Update book list,,1,3,2,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",328.79055555555556
373,CLOSED,2018-10-24T19:32:15Z,,2020-02-12T05:53:16Z,Hash Tables Section incorrect link,Replaced link week 3 with link to week 4,1,2,2,{'totalCount': 0},{'totalCount': 2},{'totalCount': 4},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",11410.350277777778
379,MERGED,2018-10-30T14:31:56Z,2020-12-29T21:07:30Z,2020-12-29T21:07:30Z,Update README.md,,0,0,0,{'totalCount': 2},{'totalCount': 4},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",18990.592777777776
406,MERGED,2019-01-16T04:25:29Z,2019-01-19T20:55:14Z,2019-01-19T20:55:14Z,Fix coursera link,Fix link to Coursera videos in Algorithmic complexity / Big-O / Asymptotic analysis section.,1,3,3,{'totalCount': 2},{'totalCount': 2},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",88.49583333333334
422,MERGED,2019-04-25T07:47:27Z,2019-04-26T02:19:49Z,2019-04-26T02:19:50Z,Update translations image link,The image which links Coding at the whiteboard - from HBO's Silicon Valley not found in translations.,13,13,13,{'totalCount': 1},{'totalCount': 4},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",18.539444444444445
434,MERGED,2019-07-13T16:55:06Z,2019-09-14T20:12:46Z,2019-09-14T20:12:46Z,Translation: German,"Translated to german, open for discussion",1,2094,0,{'totalCount': 5},{'totalCount': 3},{'totalCount': 7},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",1515.2944444444445
440,MERGED,2019-08-06T06:00:20Z,2019-08-09T03:50:01Z,2019-08-09T03:50:01Z,docs: remove future google sign img,remove img at #439,1,0,6,{'totalCount': 2},{'totalCount': 2},{'totalCount': 3},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",69.82805555555555
459,CLOSED,2019-10-12T20:09:25Z,,2024-05-03T16:00:29Z,Partial translation of french readme,,1,259,255,{'totalCount': 6},{'totalCount': 7},{'totalCount': 7},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",39955.851111111115
467,MERGED,2019-12-14T17:10:23Z,2020-01-24T04:45:47Z,2020-01-24T04:45:47Z,Initialization of the Bengali Translation File,"Although the translation could be improved and modified, here is my piece of work. If you think its worth to merge in.",1,0,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",971.59
507,MERGED,2020-04-09T12:35:36Z,2020-04-09T16:12:30Z,2020-04-09T16:12:30Z,Translation: Polish,"Hi. First of all, great & interesting project! I saw that Polish version is uncomplete, not finished yet. So, here (eg. see the diff comparison):
https://github.com/mbiesiad/coding-interview-university/blob/master/translations/README-pl.md
@jwasham
is updated & finished Polish version. 🔥  Please, enjoy!
Best greetings",2,1201,1208,{'totalCount': 2},{'totalCount': 2},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",3.615
521,MERGED,2020-05-05T20:50:18Z,2021-04-21T14:49:13Z,2021-04-21T14:49:13Z,[Docs] In Progress: translating in urdu,started translating in urdu,1,1978,0,{'totalCount': 3},{'totalCount': 4},{'totalCount': 3},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",8417.981944444444
522,MERGED,2020-05-07T09:16:41Z,2020-10-03T01:23:43Z,2020-10-03T01:23:43Z,"""Always Be Coding"" translates more closely to ""不要停止编程"" than ""永远都要编程""",,1,1,1,{'totalCount': 0},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",3568.117222222222
537,CLOSED,2020-06-01T15:56:43Z,,2020-10-03T19:01:34Z,Add assignments,Stanford gives two assignments (cs106b) about recursion and backtracking. May be useful to get more practice.,1,3,0,{'totalCount': 1},{'totalCount': 5},{'totalCount': 3},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",2979.0808333333334
628,MERGED,2020-09-16T15:47:29Z,2020-09-22T23:52:18Z,2020-09-22T23:52:18Z,Update README-es.md,Grammar error corrected.,1,1,1,{'totalCount': 2},{'totalCount': 5},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",152.08027777777778
637,CLOSED,2020-10-01T03:50:15Z,,2020-10-02T14:45:19Z,Improved Docs,,1,1,1,{'totalCount': 3},{'totalCount': 4},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",34.91777777777778
638,MERGED,2020-10-01T08:37:54Z,2020-10-03T19:00:10Z,2020-10-03T19:00:10Z,"new course links for html, css and js","added new course links for HTML, CSS, and Javascript.",1,3,0,{'totalCount': 2},{'totalCount': 4},{'totalCount': 3},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",58.37111111111111
640,MERGED,2020-10-02T11:25:18Z,2020-10-03T19:04:43Z,2020-10-03T19:04:43Z,Improving the consistency of capitalization and punctuation,"This is my first pull request, I would greatly appreciate any feedback given to this!",1,114,114,{'totalCount': 4},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",31.656944444444445
643,CLOSED,2020-10-03T04:35:58Z,,2020-10-03T18:58:22Z,Update README.md,Codeforces website is not mentioned despite being a popular platform for challenges. I hope you add it as it has a great community and following amongst programmers.,1,1,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",14.373333333333333
662,MERGED,2020-10-24T02:39:04Z,2020-10-25T18:12:13Z,2020-10-25T18:12:13Z,Removed core trees link to all translations,"Removed this link https://www.coursera.org/learn/data-structures-optimizing-performance/lecture/ovovP/core-trees because that link is 404 - not found.
Readme for that part has been updated before in 2263be3.",16,0,15,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",39.5525
674,MERGED,2020-11-14T00:18:02Z,2020-11-23T16:36:32Z,2020-11-23T16:36:32Z,Adding algorithm implementation link,Adding a link to multiple Algorithms implementation from Princeton University,1,5,0,{'totalCount': 2},{'totalCount': 3},{'totalCount': 2},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",232.30833333333334
676,MERGED,2020-11-17T17:03:36Z,2020-11-19T18:17:42Z,2020-11-19T18:17:42Z,Translation: Khmer [Finished],Added Khmer translation.,1,1992,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",49.235
709,CLOSED,2020-12-30T15:55:16Z,,2020-12-30T17:38:35Z,Marked x,,1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",1.7219444444444445
739,CLOSED,2021-02-15T21:39:09Z,,2021-02-16T02:05:50Z,marked,,1,7,7,{'totalCount': 1},{'totalCount': 4},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",4.4447222222222225
774,MERGED,2021-04-07T05:15:11Z,2021-04-11T01:34:58Z,2021-04-11T01:34:58Z,Added information related to ATS Resume,Updated Resume Section and added information about ATS Complaint Resume.,1,2,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",92.32972222222222
783,CLOSED,2021-04-14T17:36:58Z,,2021-04-18T02:54:42Z,Added information of interview coding platforms,Updated information about some of the best Platforms with huge and good collections of interview resources that will help them crack the interviews of big tech companies.,1,8,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",81.29555555555555
862,CLOSED,2021-05-29T10:15:14Z,,2021-05-30T00:16:34Z,docs: updated README.md,Uploaded a few resources to discrete math from MIT and Stanford,1,3,1,{'totalCount': 2},{'totalCount': 3},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",14.022222222222222
879,CLOSED,2021-06-13T08:29:44Z,,2021-06-14T00:26:02Z,Added info about CS Free Resources,Added Information about Free Resources and Roadmap for those who wants to learn and master Computer science even if they are beginner,1,4,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'jwasham', 'name': 'coding-interview-university'}",15.938333333333333
36,MERGED,2017-07-11T03:56:03Z,2017-07-11T14:07:37Z,2017-07-11T14:07:37Z,Build A Support Ticket Application With AdonisJs,,1,4,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",10.192777777777778
37,MERGED,2017-07-12T23:53:49Z,2017-07-13T03:41:54Z,2017-07-13T03:41:54Z,Added Thinkster.io to Additional Resources,,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",3.801388888888889
38,MERGED,2017-07-13T09:37:03Z,2017-07-14T00:41:40Z,2017-07-14T00:41:40Z,Added Goodheads.io to Additional Resources,,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",15.076944444444445
56,MERGED,2018-04-17T04:09:04Z,2018-04-17T15:36:03Z,2018-04-17T15:36:03Z,"Javascript: ""How to write your own Virtual DOM""",,1,1,0,{'totalCount': 0},{'totalCount': 1},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",11.449722222222222
61,MERGED,2018-04-19T06:10:23Z,2018-04-20T04:17:17Z,2018-04-20T04:17:17Z,"Javascript: ""Vue 2 + Firebase Authentication App""","Full title: ""Vue 2 + Firebase: How to build a Vue app with Firebase authentication system in 15 minutes""",1,4,0,{'totalCount': 0},{'totalCount': 1},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",22.115
67,MERGED,2018-04-20T14:28:10Z,2018-04-27T17:25:36Z,2018-04-27T17:25:36Z,Add Handmade Hero tutorial.,"Add link to the official site of the Handmade Hero video game creation video tutorial series to the C++ OpenGL subsection.
Sort C++ OpenGL subsection tutorials alphabetically.",1,2,1,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",170.9572222222222
69,MERGED,2018-04-21T09:53:13Z,2018-04-21T18:36:37Z,2018-04-21T18:36:37Z,"Added React,Node and Deep Learning Tutorials",,1,3,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",8.723333333333333
70,MERGED,2018-04-21T18:50:39Z,2018-04-22T00:50:01Z,2018-04-22T00:50:01Z,Vue.js Application Tutorial – Creating a Simple Budgeting App with Vue,,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",5.989444444444445
71,MERGED,2018-04-22T07:51:45Z,2018-04-24T18:59:37Z,2018-04-24T18:59:37Z,"Added HTML/CSS topic,React,Python and R tutorials",,1,10,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",59.13111111111111
72,MERGED,2018-04-25T16:54:43Z,2018-04-26T21:39:59Z,2018-04-26T21:39:59Z,Added Deep Learning and Machine Learning Tutorials,,1,6,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",28.754444444444445
73,MERGED,2018-04-29T05:39:21Z,2018-04-30T10:33:04Z,2018-04-30T10:33:04Z,"Added React,Web Scraping and AI Tutorials",,1,6,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",28.89527777777778
75,MERGED,2018-05-09T09:59:37Z,2018-06-14T15:34:39Z,2018-06-14T15:34:39Z,Add tutorial about writing concurrent servers.,"Add additional sub-section in C/C++ section about network programming.
Move ""Let's Code a TCP/IP Stack"" tutorial series in it.
Add series of tutorials about writing concurrent servers by Eli Bendersky.",1,17,6,{'totalCount': 2},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",869.5838888888889
77,MERGED,2018-05-23T07:30:00Z,2018-05-24T19:47:44Z,2018-05-24T19:47:44Z,Added Machine Learning and Javascript tutorials,,1,6,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",36.29555555555555
79,MERGED,2018-05-25T07:49:16Z,2018-05-27T23:16:00Z,2018-05-27T23:16:00Z,"Added React,Hapi and R tutorials",,1,5,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",63.44555555555556
81,MERGED,2018-05-27T18:07:34Z,2018-05-27T23:17:54Z,2018-05-27T23:17:54Z,Add Tetris tutorial,Add tutorial about writing a Tetris game by Javier López.,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",5.1722222222222225
82,MERGED,2018-05-27T18:08:07Z,2018-05-30T04:11:35Z,2018-05-30T04:11:35Z,Add a matrix multiplication tutorial,Add tutorial about writing of a high performance matrix multiplication in C++ by Jean Guegant.,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",58.05777777777778
84,MERGED,2018-05-28T19:43:39Z,2018-06-03T19:33:21Z,2018-06-03T19:33:21Z,"Added Python ""Build a RESTful API with Flask – The TDD Way""",,1,1,0,{'totalCount': 0},{'totalCount': 1},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",143.82833333333335
85,MERGED,2018-05-29T13:28:33Z,2018-06-03T19:32:58Z,2018-06-03T19:32:58Z,Added Angular and React tutorials,,1,5,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",126.0736111111111
88,MERGED,2018-06-08T15:05:51Z,2018-06-14T15:27:13Z,2018-06-14T15:27:13Z,"Add ""Writing a Linux Debugger"" tutorial series.",,1,11,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",144.35611111111112
110,MERGED,2018-08-30T07:53:43Z,2018-09-09T07:01:29Z,2018-09-09T07:01:29Z,Add Erlang Tutorial,Add Erlang and one tutorial,1,5,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",239.12944444444443
116,MERGED,2018-09-22T07:37:56Z,2018-09-25T03:52:30Z,2018-09-25T03:52:30Z,Add a C tutorial about creating an os,How to create an OS from scratch : https://github.com/cfenollosa/os-tutorial,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",68.24277777777777
119,MERGED,2018-10-04T02:46:24Z,2018-10-07T08:02:58Z,2018-10-07T08:02:58Z,Add Hack Club Workshops to additional resources,"Added Hack Club Workshops!
Hack Club Workshops are a collection of workshops written by an international open-source student non-profit. It contains a series of guides and tutorials for students to start learning to build or to code via creating various projects.",1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",77.2761111111111
131,MERGED,2018-10-25T15:38:35Z,2018-10-28T03:40:58Z,2018-10-28T03:40:58Z,Update README.md,Added an intuitive Python based ML tutorial that I've referred to in the past.,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",60.039722222222224
141,MERGED,2018-11-05T00:43:52Z,2021-08-28T05:42:32Z,2021-08-28T05:42:32Z,Update README.md,"Rewrote introduction paragraph in the README.md file to increase conciseness and remove ambiguities.
Description
Changed ""learners"" to ""aspiring software developers"". ""Learners"" might be confusing.
Motivation and Context


How Has This Been Tested?



Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",1,1,1,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",24652.977777777778
177,CLOSED,2019-09-19T11:02:16Z,,2021-08-26T10:08:34Z,Added new tutorials in Python,"Description

Motivation and Context


How Has This Been Tested?



Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",1,4,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",16967.105
178,MERGED,2019-09-25T20:13:29Z,2020-02-18T19:18:45Z,2020-02-18T19:18:45Z,Add Memory Allocator in C tutorial,"Description

Motivation and Context


How Has This Been Tested?



Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",3503.087777777778
182,MERGED,2019-10-06T16:31:11Z,2019-10-14T15:15:07Z,2019-10-14T15:15:07Z,Add F# Section,"Description

Added F# section and a tutorial which learns how to write a simple Excel in 100 lines of F#
Motivation and Context


F# was not on the list. Now it is.
How Has This Been Tested?



Test what?
Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",1,5,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",190.73222222222222
183,MERGED,2019-10-10T04:54:03Z,2019-10-12T02:07:44Z,2019-10-12T02:07:44Z,update Angular tutorial to new version and add part 2 link,"Description

I was going to add a good Angular 8 tutorial that uses firebase and several design components, but I noticed that the tutorial was included under the Angular 6 version. Since that entry was submitted, the tutorial has been updated to Angular 8 and a second edition has been released.
Motivation and Context


Issue #28 was addressed
How Has This Been Tested?



I checked the links to make sure they linked to the proper pages
Types of changes


[ x] Content Update (change which fixes an issue or updates an already existing submission)
[ x] New Article (change which adds functionality)
 Documentation change

Checklist:



[ x] My code follows the code style of this project.
[ x] I have updated the documentation accordingly.
[ x] I have read the CONTRIBUTING document.
[ x] I have made checks to ensure URLs and other resources are valid",1,3,1,{'totalCount': 0},{'totalCount': 3},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",45.22805555555556
184,MERGED,2019-10-10T06:45:32Z,2019-10-11T20:17:48Z,2019-10-11T20:17:48Z,Added beginner-friendly Ruby tutorial,"Description
Added a beginner-friendly Ruby tutorial - a step-by-step walkthrough on how to build a Rails application that lets users post information about sharks and their behavior.",1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",37.53777777777778
186,CLOSED,2019-10-13T04:38:24Z,,2021-08-26T08:36:39Z,Let's Build Game with C++,"Description

I add tutorial to make game in c++
Motivation and Context

this to make game in c++

How Has This Been Tested?

I haven't tested before but I see the tutorial is good


Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",1,1,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",16395.970833333333
187,MERGED,2019-10-13T21:05:05Z,2019-10-14T15:13:26Z,2019-10-14T15:13:26Z,Added Sol - An MQTT broker from scratch tutorial,"Description
Added a comprehensive tutorial in 6 parts + bonus to build an MQTT broker from scratch in C.
Motivation and Context
The project covers a lot of interesting CS topics, like low level networks, EPOLL interface and data structures implementation.
How Has This Been Tested?
All URLs are working correctly
Types of changes

 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",1,9,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",18.139166666666668
193,CLOSED,2019-10-25T17:50:42Z,,2021-08-26T07:57:59Z,Create factorial using recurssion,"i am beginner, trying my hands in c language
i have  written a  c programe to find factorial of a given number using recurssion",1,21,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'practical-tutorials', 'name': 'project-based-learning'}",16094.121388888889
